source_doc,eval_type,eval_method,variant,score,duration
10023,Embeddings-based,LongDocFACTScore,source,-2.099872776956269,5.855590343475342
10023,Embeddings-based,LongDocFACTScore,consecutively_swapped_words_0.1,-4.180509954991967,5.254389524459839
10023,Embeddings-based,LongDocFACTScore,consecutively_swapped_words_0.3,-5.132472907653963,5.124900579452515
10023,Embeddings-based,LongDocFACTScore,consecutively_swapped_words_0.5,-5.734847675670277,5.17755651473999
10023,Embeddings-based,LongDocFACTScore,consecutively_swapped_words_0.7,-6.196284255596122,4.960411787033081
10023,Embeddings-based,LongDocFACTScore,consecutively_swapped_words_0.9,-6.4967398354501436,4.896806240081787
10023,Embeddings-based,LongDocFACTScore,deleted_words_0.1,-4.022583044492281,4.573910474777222
10023,Embeddings-based,LongDocFACTScore,deleted_words_0.3,-4.637951678124027,3.4739582538604736
10023,Embeddings-based,LongDocFACTScore,deleted_words_0.5,-5.337495230613871,2.5856447219848633
10023,Embeddings-based,LongDocFACTScore,deleted_words_0.7,-5.987510259334858,1.7758901119232178
10023,Embeddings-based,LongDocFACTScore,deleted_words_0.9,-7.174198670820757,1.1029317378997803
10023,Embeddings-based,LongDocFACTScore,inserted_sentence_0.1,-2.3542463878790536,3.7932839393615723
10023,Embeddings-based,LongDocFACTScore,inserted_sentence_0.3,-2.8427912388529095,4.213577032089233
10023,Embeddings-based,LongDocFACTScore,inserted_sentence_0.5,-3.261535363432802,4.6831395626068115
10023,Embeddings-based,LongDocFACTScore,inserted_sentence_0.7,-3.2275706997939517,4.996279716491699
10023,Embeddings-based,LongDocFACTScore,inserted_sentence_0.9,-3.353505101941881,4.785526990890503
10023,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.1,-4.981038736574577,5.115901470184326
10023,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.3,-6.8642214717287,5.358183860778809
10023,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.5,-7.890001109152129,5.650014162063599
10023,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.7,-8.091819551255968,6.240678787231445
10023,Embeddings-based,LongDocFACTScore,randomly_swapped_words_0.9,-8.272441690618342,6.413063049316406
10023,Embeddings-based,LongDocFACTScore,removed_sentence_0.1,-2.1497066465078616,3.1734180450439453
10023,Embeddings-based,LongDocFACTScore,removed_sentence_0.3,-2.1287336468696596,2.7142281532287598
10023,Embeddings-based,LongDocFACTScore,removed_sentence_0.5,-2.3345919450124106,2.049473524093628
10023,Embeddings-based,LongDocFACTScore,removed_sentence_0.7,-2.4481761902570724,1.48006010055542
10023,Embeddings-based,LongDocFACTScore,removed_sentence_0.9,-2.3056483268737793,0.8670318126678467
10023,Embeddings-based,LongDocFACTScore,repeated_sentence_0.1,-2.184031003399899,3.57362699508667
10023,Embeddings-based,LongDocFACTScore,repeated_sentence_0.3,-2.2459726856465925,3.6178629398345947
10023,Embeddings-based,LongDocFACTScore,repeated_sentence_0.5,-2.2459726856465925,3.6793410778045654
10023,Embeddings-based,LongDocFACTScore,repeated_sentence_0.7,-2.2459726856465925,3.8059120178222656
10023,Embeddings-based,LongDocFACTScore,repeated_sentence_0.9,-2.2459726856465925,3.801923990249634
10023,Embeddings-based,LongDocFACTScore,10024_1,-4.473825021930363,5.026412725448608
10023,Embeddings-based,LongDocFACTScore,10025_1,-4.899004886316699,6.140623092651367
10023,Embeddings-based,LongDocFACTScore,10050_1,-5.1367941583905905,3.015566825866699
10023,Embeddings-based,LongDocFACTScore,10051_1,-5.166080857145375,3.0344932079315186
10023,Embeddings-based,LongDocFACTScore,10063_1,-5.420646250247955,1.5283424854278564
10023,Embeddings-based,LongDocFACTScore,10064_1,-5.318827980443051,1.3601222038269043
10023,Embeddings-based,LongDocFACTScore,10065_1,-5.6228955795890405,2.093790292739868
10023,Embeddings-based,LongDocFACTScore,10066_1,-4.777264521672175,1.670746088027954
