source_doc,eval_type,eval_method,variant,score,duration
1,N-gram,Rouge1,source,1.0,0.2400193214416504
1,N-gram,Rouge2,source,1.0,0.032202720642089844
1,Graph-based,AutoSummENG,source,1.000000,15.080821752548218
1,Graph-based,MeMoG,source,1.000000,15.080821752548218
1,Meta,NPowER,source,0.888240,15.080821752548218
1,Embeddings-based,BERTScore,source,1.0,0.6703784465789795
1,N-gram,Rouge1,consecutively_swapped_words_0.1,1.0,0.03143310546875
1,N-gram,Rouge2,consecutively_swapped_words_0.1,0.9609971853638922,0.024407625198364258
1,Graph-based,AutoSummENG,consecutively_swapped_words_0.1,0.692977,14.734053373336792
1,Graph-based,MeMoG,consecutively_swapped_words_0.1,0.692977,14.734053373336792
1,Meta,NPowER,consecutively_swapped_words_0.1,0.633540,14.734053373336792
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9856056571006775,0.8905284404754639
1,N-gram,Rouge1,consecutively_swapped_words_0.3,1.0,0.032013654708862305
1,N-gram,Rouge2,consecutively_swapped_words_0.3,0.8868114193807801,0.033529043197631836
1,Graph-based,AutoSummENG,consecutively_swapped_words_0.3,0.638381,15.130221843719482
1,Graph-based,MeMoG,consecutively_swapped_words_0.3,0.638381,15.130221843719482
1,Meta,NPowER,consecutively_swapped_words_0.3,0.588248,15.130221843719482
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9626008868217468,0.962916374206543
1,N-gram,Rouge1,consecutively_swapped_words_0.5,1.0,0.03741097450256348
1,N-gram,Rouge2,consecutively_swapped_words_0.5,0.8431845597104946,0.030686140060424805
1,Graph-based,AutoSummENG,consecutively_swapped_words_0.5,0.603518,15.228806495666504
1,Graph-based,MeMoG,consecutively_swapped_words_0.5,0.603518,15.228806495666504
1,Meta,NPowER,consecutively_swapped_words_0.5,0.559326,15.228806495666504
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.5,0.9490022659301758,0.9237008094787598
1,N-gram,Rouge1,consecutively_swapped_words_0.7,1.0,0.036527395248413086
1,N-gram,Rouge2,consecutively_swapped_words_0.7,0.7961399276236428,0.028203248977661133
1,Graph-based,AutoSummENG,consecutively_swapped_words_0.7,0.570734,15.113919734954834
1,Graph-based,MeMoG,consecutively_swapped_words_0.7,0.570734,15.113919734954834
1,Meta,NPowER,consecutively_swapped_words_0.7,0.532129,15.113919734954834
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.7,0.9398484230041504,0.8873517513275146
1,N-gram,Rouge1,consecutively_swapped_words_0.9,1.0,0.03310823440551758
1,N-gram,Rouge2,consecutively_swapped_words_0.9,0.7687977482911138,0.03632044792175293
1,Graph-based,AutoSummENG,consecutively_swapped_words_0.9,0.549412,14.90232229232788
1,Graph-based,MeMoG,consecutively_swapped_words_0.9,0.549412,14.90232229232788
1,Meta,NPowER,consecutively_swapped_words_0.9,0.514442,14.90232229232788
1,Embeddings-based,BERTScore,consecutively_swapped_words_0.9,0.9286924600601196,0.8756768703460693
1,N-gram,Rouge1,deleted_words_0.1,0.941827076464958,0.04074358940124512
1,N-gram,Rouge2,deleted_words_0.1,0.8841612594404851,0.028643369674682617
1,Graph-based,AutoSummENG,deleted_words_0.1,0.647494,13.732133388519287
1,Graph-based,MeMoG,deleted_words_0.1,0.647494,13.732133388519287
1,Meta,NPowER,deleted_words_0.1,0.595808,13.732133388519287
1,Embeddings-based,BERTScore,deleted_words_0.1,0.764753520488739,0.8480052947998047
1,N-gram,Rouge1,deleted_words_0.3,0.8230423468180742,0.0252993106842041
1,N-gram,Rouge2,deleted_words_0.3,0.6971131093232371,0.028370380401611328
1,Graph-based,AutoSummENG,deleted_words_0.3,0.494701,12.270480871200562
1,Graph-based,MeMoG,deleted_words_0.3,0.494701,12.270480871200562
1,Meta,NPowER,deleted_words_0.3,0.469054,12.270480871200562
1,Embeddings-based,BERTScore,deleted_words_0.3,0.6936326026916504,0.7769994735717773
1,N-gram,Rouge1,deleted_words_0.5,0.6658621614373826,0.03818798065185547
1,N-gram,Rouge2,deleted_words_0.5,0.5064377682403434,0.019527435302734375
1,Graph-based,AutoSummENG,deleted_words_0.5,0.341435,10.429062843322754
1,Graph-based,MeMoG,deleted_words_0.5,0.341435,10.429062843322754
1,Meta,NPowER,deleted_words_0.5,0.341908,10.429062843322754
1,Embeddings-based,BERTScore,deleted_words_0.5,0.6711884140968323,0.7030284404754639
1,N-gram,Rouge1,deleted_words_0.7,0.4722861968370951,0.02228069305419922
1,N-gram,Rouge2,deleted_words_0.7,0.31362309937029637,0.024443626403808594
1,Graph-based,AutoSummENG,deleted_words_0.7,0.205446,9.375211238861084
1,Graph-based,MeMoG,deleted_words_0.7,0.205446,9.375211238861084
1,Meta,NPowER,deleted_words_0.7,0.229094,9.375211238861084
1,Embeddings-based,BERTScore,deleted_words_0.7,0.6439626216888428,0.626331090927124
1,N-gram,Rouge1,deleted_words_0.9,0.18563092633114517,0.022205352783203125
1,N-gram,Rouge2,deleted_words_0.9,0.09777453484129879,0.015098810195922852
1,Graph-based,AutoSummENG,deleted_words_0.9,0.069087,7.952833890914917
1,Graph-based,MeMoG,deleted_words_0.9,0.069087,7.952833890914917
1,Meta,NPowER,deleted_words_0.9,0.115973,7.952833890914917
1,Embeddings-based,BERTScore,deleted_words_0.9,0.6474519968032837,0.5577065944671631
1,N-gram,Rouge1,inserted_sentence_0.1,0.9581638582219639,0.0335383415222168
1,N-gram,Rouge2,inserted_sentence_0.1,0.9523440526927548,0.033617258071899414
1,Graph-based,AutoSummENG,inserted_sentence_0.1,0.806453,16.61713409423828
1,Graph-based,MeMoG,inserted_sentence_0.1,0.806453,16.61713409423828
1,Meta,NPowER,inserted_sentence_0.1,0.727677,16.61713409423828
1,Embeddings-based,BERTScore,inserted_sentence_0.1,0.6805734634399414,0.9600486755371094
