source_doc,eval_type,eval_method,variant,score,duration
6899,Model-based,FactCC,source,0.0032295007,0.12752899527549744
6899,Model-based,FactCC,consecutively_swapped_words_0.1,0.24776424,0.12752899527549744
6899,Model-based,FactCC,consecutively_swapped_words_0.3,0.20461427,0.12752899527549744
6899,Model-based,FactCC,consecutively_swapped_words_0.5,0.2703861,0.12752899527549744
6899,Model-based,FactCC,consecutively_swapped_words_0.7,0.16464135,0.12752899527549744
6899,Model-based,FactCC,consecutively_swapped_words_0.9,0.24762443,0.12752899527549744
6899,Model-based,FactCC,deleted_words_0.1,0.040921304,0.12752899527549744
6899,Model-based,FactCC,deleted_words_0.3,0.9943394,0.12752899527549744
6899,Model-based,FactCC,deleted_words_0.5,0.99980897,0.021944284439086914
6899,Model-based,FactCC,deleted_words_0.7,0.99976975,0.021944284439086914
6899,Model-based,FactCC,deleted_words_0.9,0.9999869,0.021944284439086914
6899,Model-based,FactCC,inserted_sentence_0.1,0.99569666,0.021944284439086914
6899,Model-based,FactCC,inserted_sentence_0.3,0.9617937,0.021944284439086914
6899,Model-based,FactCC,inserted_sentence_0.5,0.9650522,0.021944284439086914
6899,Model-based,FactCC,inserted_sentence_0.7,0.994925,0.021944284439086914
6899,Model-based,FactCC,inserted_sentence_0.9,0.9964405,0.021944284439086914
6899,Model-based,FactCC,randomly_swapped_words_0.1,0.9423018,0.02063274383544922
6899,Model-based,FactCC,randomly_swapped_words_0.3,0.99982005,0.02063274383544922
6899,Model-based,FactCC,randomly_swapped_words_0.5,0.99993455,0.02063274383544922
6899,Model-based,FactCC,randomly_swapped_words_0.7,0.998359,0.02063274383544922
6899,Model-based,FactCC,randomly_swapped_words_0.9,0.99962103,0.02063274383544922
6899,Model-based,FactCC,removed_sentence_0.1,0.04893315,0.02063274383544922
6899,Model-based,FactCC,removed_sentence_0.3,0.985679,0.02063274383544922
6899,Model-based,FactCC,removed_sentence_0.5,0.9889957,0.02063274383544922
6899,Model-based,FactCC,removed_sentence_0.7,0.9628692,0.024332165718078613
6899,Model-based,FactCC,removed_sentence_0.9,0.001120433,0.024332165718078613
6899,Model-based,FactCC,repeated_sentence_0.1,0.0042149937,0.024332165718078613
6899,Model-based,FactCC,repeated_sentence_0.3,0.0321445,0.024332165718078613
6899,Model-based,FactCC,repeated_sentence_0.5,0.27658162,0.024332165718078613
6899,Model-based,FactCC,repeated_sentence_0.7,0.27680254,0.024332165718078613
6899,Model-based,FactCC,repeated_sentence_0.9,0.03431968,0.024332165718078613
6899,Model-based,FactCC,10023_1,0.9949463,0.024332165718078613
6899,Model-based,FactCC,10024_1,0.998357,0.032561540603637695
6899,Model-based,FactCC,10025_1,0.99804926,0.032561540603637695
6899,Model-based,FactCC,10050_1,0.99628747,0.032561540603637695
6899,Model-based,FactCC,10051_1,0.99791604,0.032561540603637695
6899,Model-based,FactCC,10063_1,0.9571459,0.032561540603637695
6899,Model-based,FactCC,10064_1,0.91593426,0.032561540603637695
6899,Model-based,FactCC,10065_1,0.9941916,0.032561540603637695
6899,Model-based,FactCC,10066_1,0.99785644,0.032561540603637695
6899,Model-based,FactCC,10067_1,0.9989247,0.039957284927368164
10368,Model-based,FactCC,source,0.0021002598,0.029964417219161987
10368,Model-based,FactCC,consecutively_swapped_words_0.1,0.0050356304,0.029964417219161987
10368,Model-based,FactCC,consecutively_swapped_words_0.3,0.991015,0.029964417219161987
